subjID	group	trial	choice	rt	gain	loss
1	A	1	1	0.755	0	0
1	A	2	2	0.355	1	0
1	A	3	2	0.555	1	0
1	A	4	2	0.271	0	-1
1	A	5	2	0.688	0	-1
1	A	6	3	0.272	0	0
1	A	7	1	0.422	0	-1
1	A	8	2	0.422	0	0
1	A	9	2	0.322	0	-1
1	A	10	3	0.155	0	0
1	A	11	3	0.305	0	0
1	A	12	3	0.255	0	0
1	A	13	1	0.838	0	0
1	A	14	1	0.822	0	0
1	A	15	1	0.905	0	-1
1	A	16	3	0.138	0	0
1	A	17	2	0.438	0	0
1	A	18	2	0.338	0	0
1	A	19	2	0.275	1	-1
1	A	20	2	0.372	0	-1
1	A	21	3	0.221	0	0
1	A	22	1	0.338	1	0
1	A	23	1	0.355	0	0
1	A	24	1	0.157	0	0
1	A	25	1	0.305	0	0
1	A	26	1	0.321	0	0
1	A	27	3	0.321	0	0
1	A	28	2	0.271	1	0
1	A	29	2	0.29	0	0
1	A	30	2	0.338	1	0
1	A	31	2	0.272	0	0
1	A	32	2	0.021	1	0
1	A	33	2	0.305	0	0
1	A	34	2	0.255	0	0
1	A	35	2	0.305	1	0
1	A	36	2	0.289	1	0
1	A	37	2	0.288	0	-1
1	A	38	2	0.272	0	0
1	A	39	2	0.321	1	-1
1	A	40	2	0.288	0	0
1	A	41	2	0.057	1	0
1	A	42	2	0.307	1	0
1	A	43	2	0.288	1	0
1	A	44	2	0.288	0	-1
1	A	45	3	0.871	0	0
1	A	46	1	0.305	0	0
1	A	47	2	0.322	0	0
1	A	48	2	0.374	1	0
1	A	49	2	0.324	1	0
1	A	50	2	0.255	1	-1
1	A	51	2	0.255	1	-1
1	A	52	3	0.505	0	0
1	A	53	1	0.322	1	0
1	A	54	1	0.305	1	0
1	A	55	1	0.288	1	0
1	A	56	1	0.288	1	0
1	A	57	1	0.257	0	0
1	A	58	1	0.072	0	0
1	A	59	1	0.408	1	0
1	A	60	1	0.321	1	0
1	A	61	3	0.789	0	0
1	A	62	2	0.466	1	-1
1	A	63	1	0.155	0	0
1	A	64	1	0.122	1	0
1	A	65	1	0.255	0	0
1	A	66	1	0.305	0	0
1	A	67	2	0.341	0	0
1	A	68	3	0.305	0	0
1	A	69	2	0.305	1	0
1	A	70	2	0.238	0	0
1	A	71	2	0.321	1	0
