subjID	group	trial	cue	choice	rt	outcome
1	A	1	5	0	0.0	0
1	A	2	2	0	0.0	0
1	A	3	6	0	0.0	-1
1	A	4	1	0	0.0	0
1	A	5	4	0	0.0	0
1	A	6	2	0	0.0	-1
1	A	7	7	1	1.125	0
1	A	8	6	1	1.398	0
1	A	9	6	0	0.0	-1
1	A	10	1	0	0.0	0
1	A	11	7	1	0.743	0
1	A	12	4	0	0.0	0
1	A	13	6	0	0.0	-1
1	A	14	6	1	0.943	0
1	A	15	2	0	0.0	-1
1	A	16	2	1	0.717	0
1	A	17	4	0	0.0	0
1	A	18	4	0	0.0	0
1	A	19	6	1	0.878	0
1	A	20	6	1	0.843	0
1	A	21	6	1	0.828	0
1	A	22	2	1	1.14	0
1	A	23	6	0	0.0	-1
1	A	24	4	1	0.601	0
1	A	25	6	1	0.683	0
1	A	26	6	1	0.652	0
1	A	27	4	0	0.0	0
1	A	28	4	0	0.0	0
1	A	29	5	0	0.0	0
1	A	30	4	0	0.0	0
1	A	31	2	1	0.887	0
1	A	32	6	1	0.899	0
1	A	33	2	0	0.0	-1
1	A	34	4	0	0.0	0
1	A	35	7	1	0.67	0
1	A	36	6	1	0.639	0
1	A	37	2	1	0.77	0
1	A	38	7	1	0.713	0
1	A	39	4	0	0.0	0
1	A	40	2	1	1.6	0
1	A	41	4	0	0.0	0
1	A	42	2	1	0.804	0
1	A	43	4	0	0.0	0
1	A	44	6	1	0.745	0
1	A	45	4	0	0.0	0
1	A	46	4	0	0.0	0
1	A	47	2	1	0.721	0
1	A	48	4	0	0.0	0
1	A	49	4	0	0.0	0
1	A	50	3	0	0.0	0
1	A	51	4	0	0.0	0
1	A	52	2	1	1.087	0
1	A	53	2	1	0.649	0
1	A	54	4	0	0.0	0
1	A	55	2	1	0.756	0
1	A	56	4	0	0.0	0
1	A	57	6	1	0.698	0
1	A	58	5	1	0.658	0
1	A	59	2	1	1.223	0
1	A	60	2	1	0.743	0
1	A	61	6	1	0.818	0
1	A	62	2	0	0.0	-1
1	A	63	6	1	0.674	0
1	A	64	6	1	0.571	0
1	A	65	2	1	1.069	0
1	A	66	6	1	0.575	0
1	A	67	4	0	0.0	0
1	A	68	6	1	0.615	0
